timestamp;Occitanie_demand_MW;Occitanie_solar_MW;Occitanie_wind_MW;Auvergne Rhone Alpes_demand_MW;Auvergne Rhone Alpes_solar_MW;Auvergne Rhone Alpes_wind_MW;Nouvelle Aquitaine_demand_MW;Nouvelle Aquitaine_solar_MW;Nouvelle Aquitaine_wind_MW;Provence Alpes Cote d'Azur_demand_MW;Provence Alpes Cote d'Azur_solar_MW;Provence Alpes Cote d'Azur_wind_MW
01/01/2021 00:00;5860;0;126;8586;0;66;6522;0;25;6418;0;15
01/01/2021 00:30;5648;0;166;8373;0;64;6604;0;19;6320;0;14
01/01/2021 01:00;5433;0;189;8134;0;58;6422;0;19;6134;0;8
01/01/2021 01:30;5390;0;226;8130;0;54;6619;0;18;6129;0;12
01/01/2021 02:00;5332;0;209;8102;0;42;6508;0;18;5997;0;13
01/01/2021 02:30;5288;0;302;8122;0;30;6530;0;22;6118;0;15
01/01/2021 03:00;5164;0;313;7947;0;25;6316;0;21;5848;0;24
01/01/2021 03:30;5058;0;334;7886;0;23;6123;0;21;5684;0;14
01/01/2021 04:00;4960;0;376;7703;0;23;5988;0;22;5500;0;12
01/01/2021 04:30;4844;0;379;7667;0;25;5918;0;25;5411;0;8
01/01/2021 05:00;4757;0;344;7599;0;27;5883;0;29;5308;0;8
01/01/2021 05:30;4788;0;356;7695;0;39;5922;0;37;5316;0;10
01/01/2021 06:00;4805;0;402;7637;0;43;5932;0;48;5242;0;8
01/01/2021 06:30;4899;0;426;7575;0;58;6065;0;63;5227;0;6
01/01/2021 07:00;4921;0;394;7556;0;63;6111;0;72;5255;0;7
01/01/2021 07:30;4965;0;386;7526;0;86;6151;0;67;5245;0;8
01/01/2021 08:00;4989;0;379;7618;0;87;6184;0;75;5248;0;17
01/01/2021 08:30;4986;1;407;7456;0;86;6182;1;90;5276;1;17
01/01/2021 09:00;5081;25;396;7593;6;79;6199;14;90;5398;19;17
01/01/2021 09:30;5182;90;355;7723;25;81;6269;105;80;5512;34;20
01/01/2021 10:00;5276;180;359;7854;54;81;6363;245;80;5696;52;25
01/01/2021 10:30;5336;290;322;7978;87;79;6454;376;92;5768;76;24
01/01/2021 11:00;5364;398;334;8088;116;79;6493;513;103;5918;100;21
01/01/2021 11:30;5410;463;320;8256;145;79;6576;565;86;6038;132;32
01/01/2021 12:00;5479;543;286;8387;173;76;6667;615;83;6199;144;29
01/01/2021 12:30;5597;592;306;8475;183;84;6765;697;69;6373;153;27
01/01/2021 13:00;5661;588;288;8617;177;85;6867;711;69;6334;164;26
01/01/2021 13:30;5516;608;262;8449;165;89;6617;527;81;6365;155;26
01/01/2021 14:00;5377;572;265;8252;149;97;6564;458;105;6204;177;27
01/01/2021 14:30;5215;535;264;8088;137;96;6488;378;140;6166;179;28
01/01/2021 15:00;5109;448;265;7948;102;100;6296;323;166;6077;121;38
01/01/2021 15:30;5085;365;257;7934;77;108;6322;271;202;6041;89;34
01/01/2021 16:00;5000;256;260;7998;46;108;6216;196;233;5970;58;36
01/01/2021 16:30;5037;139;255;8047;24;108;6203;108;257;5884;25;31
01/01/2021 17:00;5129;40;252;8047;4;116;6270;35;320;5949;5;27
01/01/2021 17:30;5378;1;257;8324;0;124;6383;2;362;6123;0;27
01/01/2021 18:00;5748;0;265;8521;0;127;6703;0;442;6274;0;21
01/01/2021 18:30;5956;0;291;8652;0;124;6850;0;457;6379;0;25
