timestep,Auvergne_Rhone_Alpes,Nouvelle_Aquitaine,Occitanie,Provence_Alpes_Cote_dAzur
0,87.2,95.0,119.3617,120.0
1,87.2,95.0,119.3617,120.0
2,87.2,95.0,89.3,120.0
3,87.2,95.0,89.3,120.0
4,87.2,95.0,89.3,120.0
5,87.2,95.0,117.80811,120.0
6,87.2,95.0,89.3,120.0
7,74.886457,81.830435,76.755989,106.83043
8,113.825,120.0,115.4875,95.0
9,113.825,120.0,115.4875,95.0
10,113.825,120.0,115.4875,95.0
11,103.81146,115.31597,111.02596,90.315967
12,18.086126,7.1512243,7.9990411,17.848776
13,21.913874,25.175266,22.791941,50.175266
14,20.0,23.128342,20.842246,48.128342
15,18.738874,18.303608,18.621687,6.6963919
16,45.125,50.0,46.4375,75.0
17,113.825,120.0,115.4875,95.0
18,62.4,65.0,63.1,40.0
19,87.2,95.0,89.3,120.0
20,87.2,95.0,89.3,120.0
21,87.2,95.0,89.3,120.0
22,18.961126,18.541312,18.848099,6.4586883
23,87.2,95.0,89.3,120.0
24,87.2,95.0,89.3,120.0
25,87.2,95.0,89.3,120.0
26,87.2,95.0,119.3617,120.0
27,87.2,95.0,89.3,120.0
28,87.2,95.0,89.3,120.0
29,15.711126,18.541312,16.473099,43.541312
30,113.825,120.0,115.4875,95.0
31,113.825,120.0,115.4875,95.0
32,113.825,120.0,115.4875,95.0
33,113.825,120.0,115.4875,95.0
34,113.825,120.0,115.4875,95.0
35,113.825,120.0,115.4875,95.0
36,87.2,95.0,89.3,120.0
37,87.8,95.0,120.0,120.0
38,115.42789,95.0,120.0,120.0
39,87.8,95.0,120.0,120.0
40,87.2,95.0,119.3617,120.0
41,87.2,95.0,102.31146,120.0
42,87.2,95.0,89.3,120.0
43,87.2,95.0,89.3,120.0
44,113.825,120.0,115.4875,95.0
45,58.035987,63.808543,59.590137,88.808543
46,87.2,95.0,119.3617,120.0
47,87.2,95.0,89.3,120.0
48,87.2,95.0,119.3617,120.0
49,87.2,95.0,119.3617,120.0
50,113.825,120.0,115.4875,95.0
51,87.2,95.0,89.3,120.0
52,87.2,95.0,89.3,120.0
53,108.26417,95.0,89.3,120.0
54,120.0,95.0,89.3,120.0
55,50.05296,68.546075,66.477637,43.546075
56,109.1954,120.0,115.4875,95.0
57,109.1954,120.0,115.4875,95.0
58,109.1954,120.0,115.4875,95.0
59,20.0,5.2624672,6.2,19.737533
60,109.1954,120.0,115.4875,95.0
61,6.2172489e-15,25.0,25.0,8.8817842e-15
62,109.1954,120.0,115.4875,95.0
63,109.1954,120.0,115.4875,95.0
64,13.9,13.128342,13.692246,11.871658
65,113.825,120.0,115.4875,95.0
66,87.2,95.0,89.3,120.0
67,120.0,95.0,89.3,120.0
68,90.911207,95.0,120.0,120.0
69,87.8,95.0,120.0,120.0
70,87.2,95.0,119.3617,120.0
71,87.2,95.0,89.3,120.0
72,87.2,95.0,119.3617,120.0
73,87.8,95.0,120.0,120.0
74,87.8,95.0,120.0,120.0
75,87.2,95.0,119.3617,120.0
76,87.2,95.0,89.3,120.0
77,87.2,95.0,89.3,120.0
78,113.825,120.0,115.4875,95.0
79,87.247765,91.57515,88.41283,66.57515
80,113.825,120.0,115.4875,95.0
81,113.825,120.0,115.4875,95.0
82,113.825,120.0,115.4875,95.0
83,11.852235,10.938219,11.606154,14.061781
84,87.2,95.0,89.3,120.0
85,87.8,95.0,120.0,120.0
86,87.8,95.0,120.0,120.0
87,87.8,95.0,120.0,120.0
88,87.2,95.0,119.3617,120.0
89,87.2,95.0,89.3,120.0
90,87.2,95.0,89.3,120.0
91,87.2,95.0,89.3,120.0
92,113.825,120.0,115.4875,95.0
93,47.775,49.358289,48.20127,24.358289
94,87.2,95.0,89.3,120.0
95,87.2,95.0,89.3,120.0
96,87.2,95.0,89.3,120.0
97,87.2,95.0,89.3,120.0
98,113.825,120.0,115.4875,95.0
99,45.125,50.0,46.4375,75.0
100,113.825,120.0,115.4875,95.0
101,60.925,66.898396,62.533222,91.898396
102,113.825,120.0,115.4875,95.0
103,113.825,120.0,115.4875,95.0
104,113.825,120.0,115.4875,95.0
105,118.25459,120.0,120.0,99.737533
106,118.25459,120.0,120.0,99.737533
107,113.825,120.0,115.4875,95.0
108,113.825,120.0,115.4875,95.0
109,87.2,95.0,89.3,120.0
110,87.2,95.0,89.3,120.0
111,87.8,95.0,120.0,120.0
112,120.0,95.0,120.0,120.0
113,120.0,95.0,120.0,120.0
114,87.8,95.0,120.0,120.0
115,91.834186,95.0,120.0,120.0
116,87.8,95.0,120.0,120.0
117,87.2,95.0,119.3617,120.0
118,87.2,95.0,89.3,120.0
119,87.2,95.0,89.3,120.0
120,87.2,95.0,89.3,120.0
121,87.2,95.0,89.3,120.0
122,87.2,95.0,89.3,120.0
123,87.2,95.0,89.3,120.0
124,87.2,95.0,89.3,120.0
125,87.2,95.0,89.3,120.0
126,113.825,120.0,115.4875,95.0
127,18.85,21.898396,19.670722,46.898396
128,113.825,120.0,115.4875,95.0
129,113.825,120.0,115.4875,95.0
130,113.825,120.0,115.4875,95.0
131,87.2,95.0,89.3,120.0
132,87.2,95.0,89.3,120.0
133,87.2,95.0,89.3,120.0
134,87.2,95.0,119.3617,120.0
135,87.2,95.0,119.3617,120.0
136,87.2,95.0,119.3617,120.0
137,87.2,95.0,89.3,120.0
138,87.2,95.0,89.3,120.0
139,87.2,95.0,89.3,120.0
140,113.825,120.0,115.4875,95.0
141,10.857235,9.8740477,10.59253,15.125952
142,87.2,95.0,89.3,120.0
143,87.2,95.0,89.3,120.0
144,87.2,95.0,89.3,120.0
145,87.2,95.0,89.3,120.0
146,113.825,120.0,115.4875,95.0
147,113.825,120.0,115.4875,95.0
148,113.825,120.0,115.4875,95.0
149,87.2,95.0,89.3,120.0
150,113.825,120.0,115.4875,95.0
151,113.825,120.0,115.4875,95.0
152,113.825,120.0,115.4875,95.0
153,113.825,120.0,115.4875,95.0
154,113.825,120.0,115.4875,95.0
155,113.825,120.0,115.4875,95.0
156,113.825,120.0,115.4875,95.0
157,91.617765,96.248947,92.864622,71.248947
158,87.2,95.0,89.3,120.0
159,87.2,95.0,105.16702,120.0
160,87.8,95.0,120.0,120.0
161,87.2,95.0,119.3617,120.0
162,87.2,95.0,119.3617,120.0
163,87.2,95.0,119.3617,120.0
164,87.2,95.0,89.3,120.0
165,87.2,95.0,89.3,120.0
166,87.2,95.0,89.3,120.0
167,87.2,95.0,89.3,120.0
168,87.2,95.0,89.3,120.0
169,87.2,95.0,89.3,120.0
170,87.2,95.0,89.3,120.0
171,87.2,95.0,89.3,120.0
172,87.2,95.0,89.3,120.0
173,87.2,95.0,89.3,120.0
174,87.2,95.0,89.3,120.0
175,35.775,40.0,36.9125,65.0
176,113.825,120.0,115.4875,95.0
177,113.825,120.0,115.4875,95.0
178,113.825,120.0,115.4875,95.0
179,87.2,95.0,89.3,120.0
180,87.2,95.0,89.3,120.0
181,87.2,95.0,89.3,120.0
182,87.2,120.0,119.3617,120.0
183,87.2,95.0,119.3617,120.0
184,87.2,95.0,89.3,120.0
185,87.2,95.0,89.3,120.0
186,87.2,95.0,89.3,120.0
187,65.85,68.68984,66.614572,43.68984
188,113.825,120.0,115.4875,95.0
189,113.825,120.0,115.4875,95.0
190,87.2,95.0,89.3,120.0
191,87.2,95.0,89.3,120.0
192,87.2,95.0,89.3,120.0
193,87.2,95.0,89.3,120.0
194,113.825,120.0,115.4875,95.0
195,113.825,120.0,115.4875,95.0
196,113.825,120.0,115.4875,95.0
197,43.9,48.68984,45.189572,73.68984
198,113.825,120.0,115.4875,95.0
199,118.25459,120.0,120.0,99.737533
200,118.25459,120.0,120.0,99.737533
201,118.25459,120.0,120.0,99.737533
202,118.25459,120.0,120.0,99.737533
203,118.25459,120.0,120.0,99.737533
204,118.25459,120.0,120.0,99.737533
205,10.927559,13.425197,11.6,38.425197
206,87.2,95.0,89.3,120.0
207,87.2,120.0,89.3,120.0
208,87.2,120.0,111.06729,120.0
209,87.2,120.0,119.3617,120.0
210,87.2,120.0,119.3617,120.0
211,87.2,120.0,119.3617,120.0
212,87.2,120.0,119.3617,120.0
213,87.2,120.0,89.3,120.0
214,87.2,120.0,89.3,120.0
215,87.2,120.0,89.3,120.0
216,87.2,120.0,89.3,120.0
217,87.2,120.0,89.3,120.0
218,87.2,120.0,89.3,120.0
219,87.2,120.0,89.3,120.0
220,87.2,120.0,89.3,120.0
221,87.2,120.0,89.3,120.0
222,26.0,29.545455,26.954545,54.545455
223,20.0,23.128342,20.842246,48.128342
224,113.825,120.0,115.4875,95.0
225,113.825,120.0,115.4875,95.0
226,113.825,120.0,115.4875,95.0
227,87.2,95.0,89.3,120.0
228,87.2,120.0,89.3,120.0
229,87.2,120.0,119.3617,120.0
230,87.2,120.0,119.3617,120.0
231,87.2,120.0,119.3617,120.0
232,87.2,120.0,119.3617,120.0
233,87.2,120.0,89.3,120.0
234,87.2,120.0,89.3,120.0
235,87.2,95.0,89.3,120.0
236,118.25459,120.0,120.0,99.737533
237,45.070407,46.465676,45.446056,21.465676
238,87.2,120.0,89.3,120.0
239,87.2,95.0,89.3,120.0
240,87.2,95.0,89.3,120.0
241,87.2,120.0,89.3,120.0
242,118.25459,120.0,120.0,99.737533
243,110.54541,98.328054,112.14652,91.492414
244,20.0,23.128342,20.842246,48.128342
245,87.2,120.0,89.3,120.0
246,87.781627,92.146125,88.956684,67.146125
247,118.25459,120.0,120.0,99.737533
248,118.25459,120.0,120.0,99.737533
249,120.0,120.0,120.0,101.60428
250,120.0,120.0,120.0,101.60428
251,118.25459,120.0,120.0,99.737533
252,118.25459,120.0,120.0,99.737533
253,87.2,120.0,89.3,120.0
254,87.2,120.0,119.3617,120.0
255,87.2,120.0,119.3617,120.0
256,87.2,120.0,119.3617,120.0
257,87.2,120.0,119.3617,120.0
258,87.2,120.0,119.3617,120.0
259,87.2,120.0,119.3617,120.0
260,87.2,120.0,119.3617,120.0
261,87.2,120.0,105.86809,120.0
262,87.2,120.0,89.3,120.0
263,87.2,120.0,89.3,120.0
264,87.2,120.0,89.3,120.0
265,87.2,120.0,89.3,120.0
266,87.2,120.0,89.3,120.0
267,87.2,120.0,89.3,120.0
268,87.2,120.0,89.3,120.0
269,83.666142,120.0,85.7,116.22047
270,118.25459,107.18919,120.0,99.737533
271,28.247769,3.7330678,28.308556,3.4735498
272,118.25459,120.0,120.0,99.737533
273,118.25459,107.18919,120.0,99.737533
274,118.25459,120.0,120.0,99.737533
275,87.2,120.0,89.3,120.0
276,87.2,120.0,119.3617,120.0
277,87.2,120.0,119.3617,120.0
278,87.2,120.0,119.3617,120.0
279,87.2,120.0,119.3617,120.0
280,87.2,120.0,119.3617,120.0
281,87.2,120.0,119.3617,120.0
282,87.2,120.0,119.3617,120.0
283,87.2,120.0,94.737416,120.0
284,120.0,120.0,120.0,101.60428
285,113.825,120.0,115.4875,95.0
286,87.2,120.0,119.3617,120.0
287,87.2,95.0,89.3,120.0
288,87.2,95.0,119.3617,120.0
289,87.2,95.0,89.3,120.0
290,120.0,120.0,120.0,101.60428
291,8.4,36.883614,9.0251337,35.721925
292,88.995407,93.444285,90.193182,68.444285
293,87.2,95.0,89.3,120.0
294,85.0,92.647059,87.058824,117.64706
295,113.825,120.0,115.4875,95.0
296,113.825,120.0,115.4875,95.0
297,113.825,120.0,115.4875,95.0
298,118.25459,120.0,120.0,99.737533
299,113.825,120.0,115.4875,95.0
300,113.825,120.0,115.4875,95.0
301,87.2,120.0,119.3617,120.0
302,87.2,120.0,119.3617,120.0
303,87.2,120.0,119.3617,120.0
304,87.2,120.0,119.3617,120.0
305,87.2,120.0,119.3617,120.0
306,87.2,120.0,119.3617,120.0
307,87.2,120.0,119.3617,120.0
308,87.2,120.0,119.3617,120.0
309,87.2,120.0,119.3617,120.0
310,87.2,120.0,119.3617,120.0
311,87.2,120.0,119.3617,120.0
312,87.2,120.0,119.3617,120.0
313,87.2,120.0,119.3617,120.0
314,87.2,120.0,119.3617,120.0
315,87.2,120.0,119.3617,120.0
316,87.2,120.0,119.3617,120.0
317,87.2,120.0,119.3617,120.0
318,87.2,95.0,89.3,120.0
319,22.05,21.84492,21.994786,3.1550802
320,113.825,120.0,115.4875,95.0
321,113.825,120.0,115.4875,95.0
322,6.3,5.0,5.95,20.0
323,87.2,95.0,89.3,120.0
324,87.2,95.0,119.3617,120.0
325,87.2,120.0,119.3617,120.0
326,87.2,120.0,119.3617,120.0
327,87.2,120.0,119.3617,120.0
328,87.2,95.0,119.3617,120.0
329,87.2,95.0,119.3617,120.0
330,87.2,95.0,119.3617,120.0
331,87.2,95.0,89.3,120.0
332,113.825,120.0,115.4875,95.0
333,87.2,95.0,89.3,120.0
334,87.2,95.0,119.3617,120.0
335,87.2,95.0,89.3,120.0
336,87.2,95.0,119.3617,120.0
337,87.2,95.0,89.3,120.0
338,113.825,120.0,115.4875,95.0
339,87.2,95.0,89.3,120.0
